23:15:53.5,-9:5:16
23:16:50.9,-7:43:36
23:17:54.2,-9:10:57
23:18:57.7,-9:36:39
23:19:6.7,-13:27:32
23:22:39.2,-15:2:21
23:34:49.4,-15:14:45
23:37:39.6,-13:3:37
23:39:47.1,-14:13:18
23:41:8.9,-11:40:50
23:44:12.1,-18:16:37
23:46:0.9,-18:40:41
23:51:21.3,-18:54:32
22:8:59.0,-18:31:11
22:14:18.0,-21:4:27
22:21:35.6,-21:35:54
22:23:30.9,-24:45:45
22:34:41.6,-20:42:30
22:35:36.5,-23:59:28
22:43:35.3,-18:49:49
22:47:33.1,-19:36:48
23:2:44.3,-20:52:14
23:6:40.9,-23:44:35
23:9:26.8,-21:10:21
23:9:54.8,-22:27:27
23:19:24.1,-18:4:31
23:22:58.2,-20:6:2
23:26:2.8,-20:38:31
23:33:16.6,-20:54:52
23:41:34.5,-18:1:38
23:41:45.8,-17:48:59
2:47:54.5,29:14:50
3:9:36.7,29:4:37
3:15:20.5,30:33:24
3:20:20.4,29:2:54
1:50:8.5,22:16:31
1:53:31.8,19:17:45
1:53:31.8,19:17:37
1:54:38.4,20:48:29
1:55:51.0,23:34:38
1:57:21.1,17:49:3
1:57:55.7,23:35:46
1:59:35.7,21:3:30
2:3:39.3,25:56:8
2:6:33.9,22:38:54
2:7:10.4,23:27:45
2:9:25.3,25:56:23
2:10:37.6,19:30:1
2:12:37.5,24:10:4
2:12:48.1,21:12:39
2:15:46.0,25:46:59
2:15:42.8,25:2:35
2:18:7.5,19:54:4
2:30:32.4,25:14:6
2:38:49.0,21:57:41
2:40:41.1,27:3:39
2:42:22.0,20:0:42
2:43:27.1,27:42:26
2:48:32.1,18:17:1
2:48:45.9,25:11:17
2:49:17.5,17:27:51
2:49:59.0,27:15:38
2:55:48.5,18:19:54
2:56:26.1,18:1:23
2:58:5.2,20:40:7
2:59:12.7,21:20:25
2:59:12.7,21:20:25
3:1:54.1,26:27:44
3:11:37.8,19:43:36
3:12:14.2,27:15:25
3:14:54.1,21:2:40
3:19:55.8,27:4:16
3:21:13.6,21:8:49
3:22:11.9,27:36:27
3:22:45.2,20:44:31
3:24:18.5,24:43:27
